Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",5.0,True
Rest_est,"(1, 2)",8.056,True
Rest_est,"(1, 3)",7.5,True
Rest_est,"(1, 4)",0.0,True
Rest_est,"(1, 5)",0.0,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-41.667,True
R1,"(1, 3)",0.0,True
R1,"(1, 4)",0.0,True
R1,"(1, 5)",-0.0,True
R2,"(1, 1, 1, 2)",3.571,True
R2,"(1, 1, 1, 3)",0.0,True
R2,"(1, 1, 1, 4)",0.0,True
R2,"(1, 1, 1, 5)",1.429,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",12.5,True
R2,"(1, 2, 1, 4)",2.778,True
R2,"(1, 2, 1, 5)",0.0,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",3.651,True
R2,"(1, 3, 1, 4)",0.0,True
R2,"(1, 3, 1, 5)",0.0,True
R2,"(1, 4, 1, 1)",0.0,True
R2,"(1, 4, 1, 2)",0.0,True
R2,"(1, 4, 1, 3)",0.0,True
R2,"(1, 4, 1, 5)",1.071,True
R2,"(1, 5, 1, 1)",0.0,True
R2,"(1, 5, 1, 2)",0.0,True
R2,"(1, 5, 1, 3)",0.0,True
R2,"(1, 5, 1, 4)",0.0,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",-0.0,True
R3,"(1, 3)",0.0,True
R3,"(1, 4)",-0.0,True
R3,"(1, 5)",-0.0,True
R4,"(1, 1)",0.0,True
R4,"(1, 2)",0.0,True
R4,"(1, 3)",-16.349,True
R4,"(1, 4)",-1.706,True
R4,"(1, 5)",-2.5,True
Lg,"(1, 1, 1, 2)",0.0,True
Lg,"(1, 1, 1, 3)",-0.0,True
Lg,"(1, 1, 1, 4)",0.0,True
Lg,"(1, 1, 1, 5)",0.0,True
Lg,"(1, 2, 1, 1)",0.0,True
Lg,"(1, 2, 1, 3)",-0.0,True
Lg,"(1, 2, 1, 4)",-0.0,True
Lg,"(1, 2, 1, 5)",-0.0,True
Lg,"(1, 3, 1, 1)",0.0,True
Lg,"(1, 3, 1, 2)",0.0,True
Lg,"(1, 3, 1, 4)",0.0,True
Lg,"(1, 3, 1, 5)",-0.0,True
Lg,"(1, 4, 1, 1)",-0.0,True
Lg,"(1, 4, 1, 2)",-0.0,True
Lg,"(1, 4, 1, 3)",-0.0,True
Lg,"(1, 4, 1, 5)",0.0,True
Lg,"(1, 5, 1, 1)",-0.0,True
Lg,"(1, 5, 1, 2)",-0.0,True
Lg,"(1, 5, 1, 3)",-0.0,True
Lg,"(1, 5, 1, 4)",0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",0.0,True
comp_1,"(1, 2)",-0.0,True
comp_4,"(1, 2)",0.0,True
comp_1,"(1, 3)",0.0,True
comp_4,"(1, 3)",-0.0,True
comp_1,"(1, 4)",0.0,True
comp_4,"(1, 4)",-0.0,True
comp_1,"(1, 5)",-0.0,True
comp_4,"(1, 5)",-0.0,True
comp_2,"(1, 1, 1, 2)",0.0,True
comp_2,"(1, 1, 1, 3)",0.0,True
comp_2,"(1, 1, 1, 4)",0.0,True
comp_2,"(1, 1, 1, 5)",0.0,True
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",0.0,True
comp_2,"(1, 2, 1, 4)",0.0,True
comp_2,"(1, 2, 1, 5)",0.0,True
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",0.0,True
comp_2,"(1, 3, 1, 4)",0.0,True
comp_2,"(1, 3, 1, 5)",0.0,True
comp_2,"(1, 4, 1, 1)",0.0,True
comp_2,"(1, 4, 1, 2)",0.0,True
comp_2,"(1, 4, 1, 3)",0.0,True
comp_2,"(1, 4, 1, 5)",0.0,True
comp_2,"(1, 5, 1, 1)",0.0,True
comp_2,"(1, 5, 1, 2)",0.0,True
comp_2,"(1, 5, 1, 3)",0.0,True
comp_2,"(1, 5, 1, 4)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 4)",0.0,True
mu,"(1, 4)",0.0,True
mu,"(1, 5)",0.0,True
mu,"(1, 5)",0.0,True
mu_2,"(1, 1, 1, 2)",0.0,True
mu_2,"(1, 1, 1, 3)",0.0,True
mu_2,"(1, 1, 1, 4)",0.0,True
mu_2,"(1, 1, 1, 5)",0.0,True
mu_2,"(1, 2, 1, 1)",0.0,True
mu_2,"(1, 2, 1, 3)",0.0,True
mu_2,"(1, 2, 1, 4)",0.0,True
mu_2,"(1, 2, 1, 5)",0.0,True
mu_2,"(1, 3, 1, 1)",0.0,True
mu_2,"(1, 3, 1, 2)",0.0,True
mu_2,"(1, 3, 1, 4)",0.0,True
mu_2,"(1, 3, 1, 5)",0.0,True
mu_2,"(1, 4, 1, 1)",0.0,True
mu_2,"(1, 4, 1, 2)",0.0,True
mu_2,"(1, 4, 1, 3)",0.0,True
mu_2,"(1, 4, 1, 5)",0.0,True
mu_2,"(1, 5, 1, 1)",0.0,True
mu_2,"(1, 5, 1, 2)",0.0,True
mu_2,"(1, 5, 1, 3)",0.0,True
mu_2,"(1, 5, 1, 4)",0.0,True
