Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",20.0,True
Rest_est,"(1, 2)",25.88,True
Rest_est,"(1, 3)",38.24,True
Rest_est,"(2, 1)",0.0,True
Rest_est,"(2, 2)",25.88,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-447.112,True
R1,"(1, 3)",-61.957,True
R1,"(2, 1)",-1714.286,True
R1,"(2, 2)",-447.112,True
R2,"(1, 1, 1, 2)",1.455,True
R2,"(1, 1, 1, 3)",1.723,True
R2,"(1, 1, 2, 1)",2.498,True
R2,"(1, 1, 2, 2)",1.455,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",29.399,True
R2,"(1, 2, 2, 1)",0.0,True
R2,"(1, 2, 2, 2)",22.364,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",2.064,True
R2,"(1, 3, 2, 1)",3.216,True
R2,"(1, 3, 2, 2)",2.064,True
R2,"(2, 1, 1, 1)",0.0,True
R2,"(2, 1, 1, 2)",0.0,True
R2,"(2, 1, 1, 3)",0.0,True
R2,"(2, 1, 2, 2)",0.0,True
R2,"(2, 2, 1, 1)",0.0,True
R2,"(2, 2, 1, 2)",22.364,True
R2,"(2, 2, 1, 3)",29.399,True
R2,"(2, 2, 2, 1)",0.0,True
R3,"(1, 1)",-0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(2, 1)",-0.0,True
R3,"(2, 2)",0.0,True
R4,"(1, 1)",-12.87,True
R4,"(1, 2)",-0.0,True
R4,"(1, 3)",-91.416,True
R4,"(2, 1)",-5.714,True
R4,"(2, 2)",-0.0,True
Lg,"(1, 1, 1, 2)",0.0,True
Lg,"(1, 1, 1, 3)",-0.0,True
Lg,"(1, 1, 2, 1)",-0.0,True
Lg,"(1, 1, 2, 2)",-0.0,True
Lg,"(1, 2, 1, 1)",0.0,True
Lg,"(1, 2, 1, 3)",0.0,True
Lg,"(1, 2, 2, 1)",0.0,True
Lg,"(1, 2, 2, 2)",0.0,True
Lg,"(1, 3, 1, 1)",0.0,True
Lg,"(1, 3, 1, 2)",0.0,True
Lg,"(1, 3, 2, 1)",0.0,True
Lg,"(1, 3, 2, 2)",0.0,True
Lg,"(2, 1, 1, 1)",0.0,True
Lg,"(2, 1, 1, 2)",0.0,True
Lg,"(2, 1, 1, 3)",0.0,True
Lg,"(2, 1, 2, 2)",-0.0,True
Lg,"(2, 2, 1, 1)",-0.0,True
Lg,"(2, 2, 1, 2)",-0.0,True
Lg,"(2, 2, 1, 3)",-0.0,True
Lg,"(2, 2, 2, 1)",0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",-1288428.5699999998,False
comp_1,"(1, 2)",-44711200.0,False
comp_4,"(1, 2)",-0.0,True
comp_1,"(1, 3)",-242809.483,False
comp_4,"(1, 3)",-9131544.24,False
comp_1,"(2, 1)",-171428600.0,False
comp_4,"(2, 1)",-571400.0,False
comp_1,"(2, 2)",-44711200.0,False
comp_4,"(2, 2)",-0.0,True
comp_2,"(1, 1, 1, 2)",145661.505,False
comp_2,"(1, 1, 1, 3)",338033.647,False
comp_2,"(1, 1, 2, 1)",250077.27800000002,False
comp_2,"(1, 1, 2, 2)",145661.505,False
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",2939900.0,False
comp_2,"(1, 2, 2, 1)",0.0,True
comp_2,"(1, 2, 2, 2)",2236400.0,False
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",206170.896,False
comp_2,"(1, 3, 2, 1)",321243.02400000003,False
comp_2,"(1, 3, 2, 2)",206170.896,False
comp_2,"(2, 1, 1, 1)",0.0,True
comp_2,"(2, 1, 1, 2)",0.0,True
comp_2,"(2, 1, 1, 3)",0.0,True
comp_2,"(2, 1, 2, 2)",0.0,True
comp_2,"(2, 2, 1, 1)",0.0,True
comp_2,"(2, 2, 1, 2)",2236400.0,False
comp_2,"(2, 2, 1, 3)",2939900.0,False
comp_2,"(2, 2, 2, 1)",0.0,True
mu,"(1, 1)",1981.0,True
mu,"(1, 1)",100111.0,True
mu,"(1, 2)",100000.0,True
mu,"(1, 2)",100000.0,True
mu,"(1, 3)",3919.0,True
mu,"(1, 3)",99890.0,True
mu,"(2, 1)",100000.0,True
mu,"(2, 1)",100000.0,True
mu,"(2, 2)",100000.0,True
mu,"(2, 2)",100000.0,True
mu_2,"(1, 1, 1, 2)",100111.0,True
mu_2,"(1, 1, 1, 3)",196189.0,True
mu_2,"(1, 1, 2, 1)",100111.0,True
mu_2,"(1, 1, 2, 2)",100111.0,True
mu_2,"(1, 2, 1, 1)",100000.0,True
mu_2,"(1, 2, 1, 3)",100000.0,True
mu_2,"(1, 2, 2, 1)",100000.0,True
mu_2,"(1, 2, 2, 2)",100000.0,True
mu_2,"(1, 3, 1, 1)",197909.0,True
mu_2,"(1, 3, 1, 2)",99889.0,True
mu_2,"(1, 3, 2, 1)",99889.0,True
mu_2,"(1, 3, 2, 2)",99889.0,True
mu_2,"(2, 1, 1, 1)",100000.0,True
mu_2,"(2, 1, 1, 2)",100000.0,True
mu_2,"(2, 1, 1, 3)",100000.0,True
mu_2,"(2, 1, 2, 2)",100000.0,True
mu_2,"(2, 2, 1, 1)",100000.0,True
mu_2,"(2, 2, 1, 2)",100000.0,True
mu_2,"(2, 2, 1, 3)",100000.0,True
mu_2,"(2, 2, 2, 1)",100000.0,True
